prop,propLabel
http://www.wikidata.org/entity/P1775,follower of
http://www.wikidata.org/entity/P1780,school of
http://www.wikidata.org/entity/P1782,courtesy name
http://www.wikidata.org/entity/P1785,temple name
http://www.wikidata.org/entity/P1786,posthumous name
http://www.wikidata.org/entity/P1787,art-name
http://www.wikidata.org/entity/P1813,short name
http://www.wikidata.org/entity/P1836,draft pick number
http://www.wikidata.org/entity/P1853,blood type
http://www.wikidata.org/entity/P1875,represented by
http://www.wikidata.org/entity/P1884,hair color
http://www.wikidata.org/entity/P1950,second family name in Spanish name
http://www.wikidata.org/entity/P2021,Erdős number
http://www.wikidata.org/entity/P2067,mass
http://www.wikidata.org/entity/P2097,term length of office
http://www.wikidata.org/entity/P2218,net worth
http://www.wikidata.org/entity/P2358,Roman praenomen
http://www.wikidata.org/entity/P2359,Roman nomen gentilicium
http://www.wikidata.org/entity/P2365,Roman cognomen
http://www.wikidata.org/entity/P2366,Roman agnomen
http://www.wikidata.org/entity/P2389,organization directed by the office or position
http://www.wikidata.org/entity/P2416,sports discipline competed in
http://www.wikidata.org/entity/P2462,member of the deme
http://www.wikidata.org/entity/P2561,name
http://www.wikidata.org/entity/P2650,interested in
http://www.wikidata.org/entity/P2770,source of income
http://www.wikidata.org/entity/P2831,totem
http://www.wikidata.org/entity/P2838,professional name (Japan)
http://www.wikidata.org/entity/P2873,time in space
http://www.wikidata.org/entity/P3091,mount
http://www.wikidata.org/entity/P3106,Guardian topic ID
http://www.wikidata.org/entity/P3205,patient of
http://www.wikidata.org/entity/P3265,Myspace ID
http://www.wikidata.org/entity/P3438,vehicle normally used
http://www.wikidata.org/entity/P3602,candidacy in election
http://www.wikidata.org/entity/P3716,social classification
http://www.wikidata.org/entity/P3833,diaspora
http://www.wikidata.org/entity/P3902,had as last meal
http://www.wikidata.org/entity/P3909,last words
http://www.wikidata.org/entity/P3919,contributed to creative work
http://www.wikidata.org/entity/P4292,possessed by spirit
http://www.wikidata.org/entity/P4353,nominated by
http://www.wikidata.org/entity/P4500,family relationship degree
http://www.wikidata.org/entity/P5021,assessment
http://www.wikidata.org/entity/P5054,member of cabinet
http://www.wikidata.org/entity/P5096,member of the crew of
http://www.wikidata.org/entity/P5202,adapted by
http://www.wikidata.org/entity/P5389,permanent resident of
http://www.wikidata.org/entity/P6087,coach of sports team
http://www.wikidata.org/entity/P6275,copyright representative
http://www.wikidata.org/entity/P6553,personal pronoun
http://www.wikidata.org/entity/P6844,abART person ID
http://www.wikidata.org/entity/P7383,name in hiero markup
http://www.wikidata.org/entity/P7406,style of karate
http://www.wikidata.org/entity/P7590,eBay username
http://www.wikidata.org/entity/P7781,exonerated of
http://www.wikidata.org/entity/P7929,Roglo person ID
http://www.wikidata.org/entity/P7931,Adelsvapen ID
http://www.wikidata.org/entity/P7972,CVR person ID
http://www.wikidata.org/entity/P8006,footedness
http://www.wikidata.org/entity/P8105,SAN archive producer ID
http://www.wikidata.org/entity/P8213,Arlington Cemetery person ID
http://www.wikidata.org/entity/P8258,field of training
http://www.wikidata.org/entity/P8274,living people protection class
http://www.wikidata.org/entity/P8403,theorised by
http://www.wikidata.org/entity/P8413,academic appointment
http://www.wikidata.org/entity/P8479,National Registry of Exonerations Case ID
http://www.wikidata.org/entity/P8500,Vietnamese middle name
http://www.wikidata.org/entity/P8822,epithet
http://www.wikidata.org/entity/P8827,GitLab.com username
http://www.wikidata.org/entity/P8832,PAN member
http://www.wikidata.org/entity/P8839,hairstyle / hairlength
http://www.wikidata.org/entity/P8852,facial hair
http://www.wikidata.org/entity/P8927,kunya
http://www.wikidata.org/entity/P8976,Lichess username
http://www.wikidata.org/entity/P9139,first family name in Portuguese name
http://www.wikidata.org/entity/P9193,LombardiaBeniCulturali archive producer person ID
http://www.wikidata.org/entity/P9406,Tacoma Local History & Biography Index ID
http://www.wikidata.org/entity/P9419,personal library at
http://www.wikidata.org/entity/P9812,Likee username
http://www.wikidata.org/entity/P10023,Museu da Pessoa person ID
http://www.wikidata.org/entity/P10032,Museu da Pessoa History
http://www.wikidata.org/entity/P10034,Derrieux agency person ID
http://www.wikidata.org/entity/P10195,Library of Congress providers ID
http://www.wikidata.org/entity/P10417,Culture.ru person ID
http://www.wikidata.org/entity/P10446,Chgk person ID
http://www.wikidata.org/entity/P10606,notable role
http://www.wikidata.org/entity/P10645,reports to
http://www.wikidata.org/entity/P10655,oeconym
http://www.wikidata.org/entity/P10723,TheGuardian.com profile ID
http://www.wikidata.org/entity/P10741,dance style
http://www.wikidata.org/entity/P10749,Time.com author ID
http://www.wikidata.org/entity/P10777,candidate position
http://www.wikidata.org/entity/P11105,annotator
http://www.wikidata.org/entity/P11211,Hlídač státu person ID
http://www.wikidata.org/entity/P11255,Cinemaazi people ID
http://www.wikidata.org/entity/P11491,member of Roman tribe
http://www.wikidata.org/entity/P19,place of birth
http://www.wikidata.org/entity/P20,place of death
http://www.wikidata.org/entity/P21,sex or gender
http://www.wikidata.org/entity/P27,country of citizenship
http://www.wikidata.org/entity/P39,position held
http://www.wikidata.org/entity/P50,author
http://www.wikidata.org/entity/P53,family
http://www.wikidata.org/entity/P54,member of sports team
http://www.wikidata.org/entity/P66,ancestral home
http://www.wikidata.org/entity/P69,educated at
http://www.wikidata.org/entity/P91,sexual orientation
http://www.wikidata.org/entity/P97,noble title
http://www.wikidata.org/entity/P102,member of political party
http://www.wikidata.org/entity/P103,native language
http://www.wikidata.org/entity/P106,occupation
http://www.wikidata.org/entity/P108,employer
http://www.wikidata.org/entity/P109,signature
http://www.wikidata.org/entity/P135,movement
http://www.wikidata.org/entity/P136,genre
http://www.wikidata.org/entity/P140,religion or worldview
http://www.wikidata.org/entity/P172,ethnic group
http://www.wikidata.org/entity/P175,performer
http://www.wikidata.org/entity/P184,doctoral advisor
http://www.wikidata.org/entity/P185,doctoral student
http://www.wikidata.org/entity/P263,official residence
http://www.wikidata.org/entity/P264,record label
http://www.wikidata.org/entity/P358,discography
http://www.wikidata.org/entity/P361,part of
http://www.wikidata.org/entity/P410,military rank
http://www.wikidata.org/entity/P411,canonization status
http://www.wikidata.org/entity/P412,voice type
http://www.wikidata.org/entity/P413,position played on team / speciality
http://www.wikidata.org/entity/P450,astronaut mission
http://www.wikidata.org/entity/P468,dan/kyu rank
http://www.wikidata.org/entity/P470,Eight Banner register
http://www.wikidata.org/entity/P511,honorific prefix
http://www.wikidata.org/entity/P512,academic degree
http://www.wikidata.org/entity/P531,diplomatic mission sent
http://www.wikidata.org/entity/P550,chivalric order
http://www.wikidata.org/entity/P551,residence
http://www.wikidata.org/entity/P552,handedness
http://www.wikidata.org/entity/P553,website account on
http://www.wikidata.org/entity/P569,date of birth
http://www.wikidata.org/entity/P570,date of death
http://www.wikidata.org/entity/P598,commander of (DEPRECATED)
http://www.wikidata.org/entity/P607,conflict
http://www.wikidata.org/entity/P608,exhibition history
http://www.wikidata.org/entity/P641,sport
http://www.wikidata.org/entity/P734,family name
http://www.wikidata.org/entity/P735,given name
http://www.wikidata.org/entity/P737,influenced by
http://www.wikidata.org/entity/P742,pseudonym
http://www.wikidata.org/entity/P768,electoral district
http://www.wikidata.org/entity/P800,notable work
http://www.wikidata.org/entity/P802,student
http://www.wikidata.org/entity/P803,professorship
http://www.wikidata.org/entity/P811,academic minor
http://www.wikidata.org/entity/P812,academic major
http://www.wikidata.org/entity/P823,speaker
http://www.wikidata.org/entity/P841,feast day
http://www.wikidata.org/entity/P856,official website
http://www.wikidata.org/entity/P937,work location
http://www.wikidata.org/entity/P941,inspired by
http://www.wikidata.org/entity/P990,audio recording of the subject's spoken voice
http://www.wikidata.org/entity/P1000,record held
http://www.wikidata.org/entity/P1026,academic thesis
http://www.wikidata.org/entity/P1035,honorific suffix
http://www.wikidata.org/entity/P1049,worshipped by
http://www.wikidata.org/entity/P1050,medical condition
http://www.wikidata.org/entity/P1066,student of
http://www.wikidata.org/entity/P1136,solved by
http://www.wikidata.org/entity/P1196,manner of death
http://www.wikidata.org/entity/P1283,filmography
http://www.wikidata.org/entity/P1303,instrument
http://www.wikidata.org/entity/P1308,officeholder
http://www.wikidata.org/entity/P1318,proved by
http://www.wikidata.org/entity/P1321,place of origin (Switzerland)
http://www.wikidata.org/entity/P1327,partner in business or sport
http://www.wikidata.org/entity/P1340,eye color
http://www.wikidata.org/entity/P1344,participant in
http://www.wikidata.org/entity/P1345,number of victims of killer
http://www.wikidata.org/entity/P1350,number of matches played/races/starts
http://www.wikidata.org/entity/P1393,proxy
http://www.wikidata.org/entity/P1412,"languages spoken, written or signed"
http://www.wikidata.org/entity/P1429,has pet
http://www.wikidata.org/entity/P1449,nickname
http://www.wikidata.org/entity/P1455,list of works
http://www.wikidata.org/entity/P1477,birth name
http://www.wikidata.org/entity/P1543,monogram
http://www.wikidata.org/entity/P1559,name in native language
http://www.wikidata.org/entity/P1576,lifestyle
http://www.wikidata.org/entity/P1593,defender
http://www.wikidata.org/entity/P1596,penalty
http://www.wikidata.org/entity/P1598,consecrator
http://www.wikidata.org/entity/P1611,NATO code for grade
http://www.wikidata.org/entity/P1635,religious name
http://www.wikidata.org/entity/P1642,acquisition transaction
http://www.wikidata.org/entity/P1643,departure transaction
http://www.wikidata.org/entity/P1677,index case of
http://www.wikidata.org/entity/P1731,Fach vocal classification
