prop,propLabel
http://www.wikidata.org/entity/P110,illustrator
http://www.wikidata.org/entity/P127,owned by
http://www.wikidata.org/entity/P170,creator
http://www.wikidata.org/entity/P405,taxon author
http://www.wikidata.org/entity/P697,ex taxon author
http://www.wikidata.org/entity/P736,cover art by
http://www.wikidata.org/entity/P748,appointed by
http://www.wikidata.org/entity/P1029,crew member(s)
http://www.wikidata.org/entity/P1039,kinship to subject
http://www.wikidata.org/entity/P1111,votes received
http://www.wikidata.org/entity/P1443,score method
http://www.wikidata.org/entity/P1607,Dialnet author ID
http://www.wikidata.org/entity/P1686,for work
http://www.wikidata.org/entity/P1706,together with
http://www.wikidata.org/entity/P1774,workshop of
http://www.wikidata.org/entity/P1776,circle of
http://www.wikidata.org/entity/P1777,manner of
http://www.wikidata.org/entity/P1778,forgery after
http://www.wikidata.org/entity/P1779,possible creator
http://www.wikidata.org/entity/P2453,nominee
http://www.wikidata.org/entity/P2679,author of foreword
http://www.wikidata.org/entity/P2680,author of afterword
http://www.wikidata.org/entity/P2835,lowest income threshold
http://www.wikidata.org/entity/P2836,highest income threshold
http://www.wikidata.org/entity/P2842,place of marriage
http://www.wikidata.org/entity/P2937,parliamentary term
http://www.wikidata.org/entity/P3323,opponent during disputation
http://www.wikidata.org/entity/P3342,significant person
http://www.wikidata.org/entity/P3931,copyright holder
http://www.wikidata.org/entity/P3938,named by
http://www.wikidata.org/entity/P5028,sound designer
http://www.wikidata.org/entity/P5030,talk show guest
http://www.wikidata.org/entity/P5769,editor-in-chief
http://www.wikidata.org/entity/P5804,has program committee member
http://www.wikidata.org/entity/P6001,applies to people
http://www.wikidata.org/entity/P6338,colorist
http://www.wikidata.org/entity/P6509,total goals in career
http://www.wikidata.org/entity/P6543,total shots in career
http://www.wikidata.org/entity/P6544,total points in career
http://www.wikidata.org/entity/P6545,total assists in career
http://www.wikidata.org/entity/P6546,penalty minutes in career
http://www.wikidata.org/entity/P6547,career plus-minus rating
http://www.wikidata.org/entity/P6819,calligrapher
http://www.wikidata.org/entity/P6872,has written for
http://www.wikidata.org/entity/P6886,writing language
http://www.wikidata.org/entity/P7893,CIÊNCIAVITAE ID
http://www.wikidata.org/entity/P7957,Directory of Maîtres d'art
http://www.wikidata.org/entity/P9191,letterer
http://www.wikidata.org/entity/P9509,Mixcloud ID
http://www.wikidata.org/entity/P10836,inker
http://www.wikidata.org/entity/P10837,penciller
