prop,propLabel
http://www.wikidata.org/entity/P22,father
http://www.wikidata.org/entity/P25,mother
http://www.wikidata.org/entity/P26,spouse
http://www.wikidata.org/entity/P40,child
http://www.wikidata.org/entity/P451,unmarried partner
http://www.wikidata.org/entity/P1038,relative
http://www.wikidata.org/entity/P1290,godparent
http://www.wikidata.org/entity/P1971,number of children
http://www.wikidata.org/entity/P3373,sibling
http://www.wikidata.org/entity/P3448,stepparent
http://www.wikidata.org/entity/P8810,parent
